Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
New Life NL-2 Blood Urea Creatinin Drop,30 ml,₹160,₹138,https://www.1mg.com/otc/new-life-nl-2-blood-urea-creatinin-drop-otc326171
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
SBL Magnesia Phosphorica Biochemic Tablet 6X,25 gm,₹110,₹101,https://www.1mg.com/otc/sbl-magnesia-phosphorica-biochemic-tablet-6x-otc331031
Dr. Reckeweg Testes Siccati Trituration Tablet 3X,20 gm,₹255,₹214,https://www.1mg.com/otc/dr.-reckeweg-testes-siccati-trituration-tablet-3x-otc326929
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
SBL FP-Tabs Tablet,25 gm,₹165,₹127,https://www.1mg.com/otc/sbl-fp-tabs-tablet-otc329015
Wheezal Mel-X Melasma Tablet,75 tablets,₹230,₹200,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713525
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
SBL Bio-Combination 25 Tablet,25 gm,₹110,₹72,https://www.1mg.com/otc/sbl-bio-combination-25-tablet-otc331077
SBL Calendula Cream,25 gm,₹75,₹66.8,https://www.1mg.com/otc/sbl-calendula-cream-otc330989
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
SBL Bio-Combination 21 Tablet,25 gm,₹110,₹85,https://www.1mg.com/otc/sbl-bio-combination-21-tablet-otc331070
Dr Willmar Schwabe India Phytolacca Berry Mother Tincture Q,30 ml,₹240,₹224,https://www.1mg.com/otc/dr-willmar-schwabe-india-phytolacca-berry-mother-tincture-q-otc391484
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
SBL Five Phos Tablet 6X,25 gm,₹110,₹100,https://www.1mg.com/otc/sbl-five-phos-tablet-6x-otc608306
